Отметка времени,Ваш пол,Сколько вам было лет на момент поступления ,В каком городе вы проживали на момент поступления? Введите полное наименование города,Поступаете после 11 класса или после колледжа,Какой у вас был средний балл аттестата,Какие предметы вы любили и хотели изучать в школе,Какие предметы были углубленными,Какие предм,Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ ,Математика(Количество баллов),Русский(Количество баллов),Первый предмет на выбор(Количество баллов),Второй предмет на выбор (Если не сдавали пропустите вопрос),Насколько хорошо вы знаете английский,"Был ли у вас опыт работы в каких областях, приближенных к выбранному направлению? Если был напишите область, в противном случае оставьте вопрос пустым",Ваш факультет в ВУЗе,Ваше направление,"Насколько вы довольны программой (или были довольны, если перевелись) выбранного направления. Очень просим дать объективный ответ именно по поводу программы обучения, не опираясь на личный опыт, преподавательский или студенческий состав!","Насколько сильно вы хотели принимать участие в различных общественных, спортивных мероприятиях, и прочих внеучебных активностях",Насколько вы спортивный человек,Насколько вам было важно поступить на бюджет,Ходили ли вы на день открытых дверей в МТУСИ,Как вы оцениваете свои способности в самоорганизации учебного процесса,Занимались ли вы с репетиторами во время обучения в старших классах,"Углубленное изучение каких предметов у вас было в школе(Если не было, пропустите вопрос)",Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ,Были ли у вас успехи в олимпиадах по техническим предметам серьезного уровня (региональные и выше) в старших классах,Чем из перечисленного ниже вы интересовались до поступления в университет,Как много времени вы готовы уделять на саморазвитие в интересующей вас предметной области? (Помимо учебных часов) ,Как вы поступали?,Был ли у вас опыт работы при,Если сдавали больше предметов добавьте баллы через запятую,"Сколько получили за каждый предмет, введите в той же последовательности, что и выбрали",,,Вопрос без заголовка
19.03.2023 18:40:13,Женский,18,Москва,После 11 класса,5,"Иностранный язык, Химия, Информатика",,,,50,86,68,90,"Свободно общаюсь, глубоко знаю грамматику",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика, Информатика","Иностранный язык, Информатика",Нет,"Программирование, Компьютерное 3D-моделирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Больше 10 часов в неделю,,,,,,,
19.03.2023 18:40:29,Женский,18,Невинномысск,После 11 класса,5,"Русский язык, Математика, Литература, Информатика",,,,80,90,83,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Изучу всё связанное с темой предмета,Да,"Математика, Физика",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование, Инженерная деятельность",Около 10 часов в неделю,,,,,,,
19.03.2023 18:41:39,Мужской,20,Москва,После 11 класса,3.5,"Математика, Литература, Химия, Биология, Физика",,,,70,83,72,62,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не очень важно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика","Обществознание, Информатика",Нет,"Программирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Несколько часов в неделю,,,,,,,
19.03.2023 18:43:34,Женский,18,Пенза,После 11 класса,4.5,"Математика, История, Обществознание, Информатика",,,,80,84,88,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Информатика,Нет,Программирование,Около 10 часов в неделю,,,,,,,
19.03.2023 18:46:00,Мужской,17,Раменское,После 11 класса,4,"Иностранный язык, История, Информатика",,,,63,63,75,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,Программирование,Несколько часов в неделю,,,,,,,
19.03.2023 18:57:17,Женский,18,Саранск,После 11 класса,4.5,"Русский язык, Математика, География, Информатика",,,,80,88,80,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,3,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Химия, Физика, Информатика",Информатика,Нет,Программирование,Около 10 часов в неделю,,,,,,,
19.03.2023 23:06:39,Мужской,18,Жуковский,После 11 класса,4,Иностранный язык,,,,62,80,70,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,3,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Изучу всё связанное с темой предмета,Да,"Математика, Физика",Информатика,Нет,,Больше 10 часов в неделю,,,,,,,
20.03.2023 12:58:46,Женский,18,Октябрьский,После 11 класса,4.5,"Математика, Иностранный язык, Химия, Биология, Обществознание, Информатика",,,,80,89,85,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,6,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Около 10 часов в неделю,,,,,,,
20.03.2023 12:58:50,Женский,18,Москва,После 11 класса,4.5,"Математика, Физика, География, Информатика",,,,84,91,83,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,7,"Все возможные мероприятия, на которые хватает времени",Предпочитаю лишний раз не двигаться,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,Иностранный язык,Информатика,Нет,Программирование,Несколько часов в неделю,,,,,,,
20.03.2023 12:58:50,Женский,17,Волгоград ,После 11 класса,5,"Математика, Физика, Информатика",,,,76,80,90,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,6,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Около 10 часов в неделю,,,,,,,
20.03.2023 12:58:59,Мужской,18,Мантурово,После 11 класса,5,"Математика, Иностранный язык, Информатика",,,,82,76,85,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Да,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,Программирование,Около 10 часов в неделю,,,,,,,
20.03.2023 12:59:01,Мужской,18,Чебоксары,После 11 класса,5,"Математика, Литература, Иностранный язык, Информатика",,,,90,89,88,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,7,"Все возможные мероприятия, на которые хватает времени",Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Физика, Информатика",Информатика,Нет,Компьютерное 3D-моделирование,Несколько часов в неделю,,,,,,,
20.03.2023 12:59:02,Мужской,17,Волгореченск,После 11 класса,5,"Математика, Иностранный язык, Информатика",,,,78,78,58,93,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,6,По возможности хотел бы участвовать регулярно,Люблю физические нагрузки в умеренном количестве,Обязательно,Да,Готов почитать несколько статей по теме предмета,Нет,,"Физика, Информатика",Нет,Программирование,Около 10 часов в неделю,,,,,,,
20.03.2023 12:59:07,Женский,17,Черкесск,После 11 класса,5,"Математика, Иностранный язык, География, Информатика",,,,92,85,79,95,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,6,По возможности хотел бы участвовать регулярно,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"История, Биология","Иностранный язык, Информатика",Да,Программирование,Больше 10 часов в неделю,,,,,,,
20.03.2023 12:59:31,Мужской,17,Тула,После 11 класса,4.5,"Русский язык, Математика, Иностранный язык, Информатика",,,,72,94,89,93,"Свободно общаюсь, глубоко знаю грамматику",,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,7,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Да,Готов почитать несколько статей по теме предмета,Да,Иностранный язык,"Иностранный язык, Информатика",Нет,"Программирование, Компьютерное 3D-моделирование",Больше 10 часов в неделю,,,,,,,
20.03.2023 12:59:35,Женский,18,Комсомольск-на-Амуре,После 11 класса,5,"Русский язык, Математика, Иностранный язык, Химия, Обществознание, Информатика",,,,76,87,85,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,8,По возможности хотел бы участвовать регулярно,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,Математика,Информатика,Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника",Несколько часов в неделю,,,,,,,
20.03.2023 12:59:37,Женский,18,Москва,После 11 класса,5,"Математика, Иностранный язык, Информатика",,,,78,86,78,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,7,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Физика",Информатика,Нет,"Программирование, Робототехника",Около 10 часов в неделю,,,,,,,
20.03.2023 12:59:43,Мужской,17,Калининград,После 11 класса,4.5,Информатика,,,,82,80,93,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Несколько часов в неделю,,,,,,,
20.03.2023 12:59:47,Женский,17,Саратов,После 11 класса,5,"Математика, Литература, Химия, Физика, Астрономия",,,,78,94,78,,Обладаю базовым словарным запасом,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,5,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,,Физика,Да,"Программирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Больше 10 часов в неделю,,,,,,,
20.03.2023 12:59:49,Мужской,18,Баку ,После 11 класса,4,"Русский язык, История, Химия",,,,66,89,78,,Могу читать несложные диалоги,,ИТ (Информационные технологии),02.03.02 Фундаментальная информатика и информационные технологии,4,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Иностранный язык,Нет,Программирование,Больше 10 часов в неделю,,,,,,,
20.03.2023 12:59:51,Мужской,18,Уфа,После 11 класса,5,"Математика, Иностранный язык, История, Биология, Физика, География, Астрономия, Информатика",,,,60,87,85,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,6,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Да,Готов почитать несколько статей по теме предмета,Да,,Физика,Да,,Больше 10 часов в неделю,,,,,,,
20.03.2023 13:00:02,Женский,18,Уфа,После 11 класса,5,"Русский язык, Математика, Иностранный язык, Физика",,,,74,87,85,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Иностранный язык",Информатика,Нет,,Несколько часов в неделю,,,,,,,
20.03.2023 13:00:03,Мужской,18,Орëл,После 11 класса,4.5,"Математика, Иностранный язык, Информатика",,,,86,78,47,78,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика","Физика, Информатика",Нет,Программирование,Больше 10 часов в неделю,,,,,,,
20.03.2023 13:00:28,Мужской,17,Чебоксары,После 11 класса,4.5,"Математика, География, Информатика",,,,76,87,88,,Обладаю базовым словарным запасом,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,6,По возможности хотел бы участвовать регулярно,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,Программирование,Больше 10 часов в неделю,,,,,,,
20.03.2023 13:00:38,Мужской,18,Обнинск ,После 11 класса,5,"Математика, Иностранный язык, История, Обществознание, Информатика",,,,78,80,85,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,5,"Все возможные мероприятия, на которые хватает времени",Люблю физические нагрузки в умеренном количестве,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Информатика,Нет,Программирование,Около 10 часов в неделю,,,,,,,
20.03.2023 13:00:48,Мужской,18,Владивосток,После 11 класса,4.5,"Биология, Обществознание",,,,65,62,70,-,Обладаю базовым словарным запасом,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,0,Только учеба,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,Иностранный язык,Информатика,Нет,,Больше 10 часов в неделю,,,,,,,
20.03.2023 13:00:52,Мужской,18,Брянск,После 11 класса,5,"Математика, Иностранный язык, Биология, Информатика",,,,78,94,72,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,4,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Обязательно,Да,Изучу всё связанное с темой предмета,Нет,Математика,Информатика,Нет,,Несколько часов в неделю,,,,,,,
20.03.2023 13:01:00,Мужской,17,Иркутск,После 11 класса,4.5,"Математика, Информатика",,,,76,82,95,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,3,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика",Информатика,Нет,Программирование,Около 10 часов в неделю,,,,,,,
20.03.2023 13:01:01,Мужской,18,Нижний Новгород,После 11 класса,4,"Русский язык, Математика, Литература",,,,78,85,90,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика",Информатика,Нет,Программирование,Около 10 часов в неделю,,,,,,,
20.03.2023 13:01:12,Мужской,17,Выкса,После 11 класса,5,"Математика, Физика, Информатика",,,,82,100,87,83,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика, Информатика","Физика, Информатика",Нет,,Несколько часов в неделю,,,,,,,
20.03.2023 13:01:32,Женский,17,Ногинск,После 11 класса,5,"Русский язык, Математика, Литература, Иностранный язык, История, Химия, Биология, Физика, География, Астрономия, Обществознание, Информатика",,,,72,78,64,,"Могу коммуницировать с носителями, частично знаю деловую речь",,СиСС (Сети и системы связи),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),7,"Все возможные мероприятия, на которые хватает времени",Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,,Информатика,Да,Программирование,Несколько часов в неделю,,,,,,,
